training steps,meanppl,nproj_sum,nproj_triu,nproj_tril,nproj_none,proj_sum,proj_triu,proj_tril,proj_none
off-shelf,3.041858,0.452,0.434,0.432,0.462,0.463,0.452,0.448,0.442
1500,5.605134,0.415,0.404,0.388,0.424,0.434,0.423,0.41,0.413
1000,5.292113,0.419,0.405,0.399,0.437,0.439,0.426,0.425,0.431
500,5.657154,0.376,0.339,0.351,0.375,0.409,0.372,0.389,0.395
100,5.984933,0.431,0.409,0.42 ,0.447,0.444,0.425,0.437,0.446
50,8.400238,0.151,0.148,0.152,0.149,0.27 ,0.261,0.256,0.265
10,8.861502,0.115,0.129,0.095,0.104,0.244,0.21 ,0.165,0.178







