sentence_index,sentence_length,unks,uuas_sum,uuas_triu,uuas_tril,uuas_none
0,37,5,0.4117647058823529,0.38235294117647056,0.4117647058823529,0.4411764705882353
1,45,7,0.3157894736842105,0.3684210526315789,0.2631578947368421,0.2894736842105263
2,20,2,0.5294117647058824,0.47058823529411764,0.4117647058823529,0.5294117647058824
3,37,8,0.34615384615384615,0.3076923076923077,0.34615384615384615,0.4230769230769231
4,23,2,0.23809523809523808,0.2857142857142857,0.23809523809523808,0.2857142857142857
5,22,0,0.35,0.45,0.35,0.5
6,17,0,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714
7,28,4,0.34782608695652173,0.34782608695652173,0.2608695652173913,0.30434782608695654
8,34,1,0.4,0.43333333333333335,0.3,0.43333333333333335
9,23,5,0.35294117647058826,0.35294117647058826,0.23529411764705882,0.35294117647058826
10,30,2,0.3333333333333333,0.37037037037037035,0.2222222222222222,0.37037037037037035
11,29,2,0.36,0.24,0.36,0.32
12,23,2,0.2777777777777778,0.16666666666666666,0.3333333333333333,0.2777777777777778
13,13,1,0.0,0.45454545454545453,0.18181818181818182,0.36363636363636365
14,20,1,0.3333333333333333,0.3888888888888889,0.4444444444444444,0.5
15,42,4,0.35135135135135137,0.35135135135135137,0.43243243243243246,0.43243243243243246
16,44,10,0.25,0.25,0.25,0.25
17,27,4,0.38095238095238093,0.38095238095238093,0.42857142857142855,0.3333333333333333
18,26,3,0.5,0.4090909090909091,0.3181818181818182,0.45454545454545453
19,15,1,0.5384615384615384,0.5384615384615384,0.46153846153846156,0.5384615384615384
20,9,1,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285
21,42,6,0.43243243243243246,0.40540540540540543,0.32432432432432434,0.3783783783783784
22,22,1,0.45,0.3,0.35,0.3
23,17,0,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.35714285714285715
24,10,1,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.5714285714285714
25,22,3,0.3,0.3,0.2,0.25
26,17,2,0.21428571428571427,0.14285714285714285,0.5,0.21428571428571427
27,14,2,0.5833333333333334,0.5,0.4166666666666667,0.5833333333333334
28,21,1,0.3157894736842105,0.42105263157894735,0.3157894736842105,0.3157894736842105
29,18,2,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.42857142857142855
30,26,0,0.6086956521739131,0.5217391304347826,0.4782608695652174,0.5652173913043478
31,8,0,0.2,0.2,0.2,0.2
32,17,0,0.46153846153846156,0.5384615384615384,0.46153846153846156,0.46153846153846156
33,27,0,0.5833333333333334,0.5833333333333334,0.4583333333333333,0.5416666666666666
34,21,7,0.25,0.25,0.1875,0.375
35,32,2,0.35714285714285715,0.39285714285714285,0.35714285714285715,0.39285714285714285
36,21,2,0.5625,0.5625,0.5,0.5625
37,9,1,0.5,0.5,0.5,0.6666666666666666
38,12,0,0.4,0.5,0.5,0.4
39,11,1,0.375,0.5,0.375,0.375
40,24,2,0.5238095238095238,0.42857142857142855,0.47619047619047616,0.47619047619047616
41,40,9,0.3548387096774194,0.2903225806451613,0.25806451612903225,0.3225806451612903
42,13,0,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.36363636363636365
43,14,1,0.4166666666666667,0.4166666666666667,0.25,0.3333333333333333
44,40,2,0.5,0.5277777777777778,0.3611111111111111,0.4722222222222222
45,20,2,0.3888888888888889,0.3333333333333333,0.3888888888888889,0.4444444444444444
46,32,7,0.3076923076923077,0.19230769230769232,0.2692307692307692,0.23076923076923078
47,29,4,0.5,0.4583333333333333,0.4166666666666667,0.5
48,19,2,0.3125,0.375,0.25,0.3125
49,13,0,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.6363636363636364
50,11,1,0.5,0.375,0.5,0.375
51,21,1,0.4444444444444444,0.3888888888888889,0.4444444444444444,0.4444444444444444
52,41,6,0.4411764705882353,0.3235294117647059,0.3235294117647059,0.4117647058823529
53,18,3,0.5384615384615384,0.46153846153846156,0.23076923076923078,0.6153846153846154
54,11,4,0.5,0.3333333333333333,0.3333333333333333,0.5
55,23,1,0.5,0.4,0.45,0.45
56,23,1,0.3684210526315789,0.47368421052631576,0.3684210526315789,0.3684210526315789
57,33,6,0.48148148148148145,0.4444444444444444,0.48148148148148145,0.48148148148148145
58,28,6,0.3181818181818182,0.4090909090909091,0.3181818181818182,0.45454545454545453
59,22,3,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421
60,14,2,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.5454545454545454
61,27,6,0.45454545454545453,0.45454545454545453,0.4090909090909091,0.5
62,24,0,0.5238095238095238,0.3333333333333333,0.6190476190476191,0.42857142857142855
63,15,0,0.5384615384615384,0.3076923076923077,0.38461538461538464,0.46153846153846156
64,24,2,0.55,0.5,0.4,0.5
65,17,0,0.4,0.2,0.26666666666666666,0.3333333333333333
66,4,1,0.5,0.5,0.5,0.5
67,3,2,1.0,1.0,1.0,1.0
68,31,4,0.44,0.4,0.4,0.44
69,5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
70,20,3,0.3125,0.4375,0.25,0.3125
71,18,2,0.5,0.5,0.35714285714285715,0.5
72,31,5,0.30434782608695654,0.34782608695652173,0.2608695652173913,0.30434782608695654
73,12,3,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.3333333333333333
74,3,2,1.0,1.0,1.0,1.0
75,31,6,0.4444444444444444,0.37037037037037035,0.37037037037037035,0.4444444444444444
76,27,1,0.391304347826087,0.34782608695652173,0.391304347826087,0.34782608695652173
77,19,0,0.5882352941176471,0.4117647058823529,0.35294117647058826,0.4117647058823529
78,13,2,0.5454545454545454,0.36363636363636365,0.5454545454545454,0.36363636363636365
79,57,nan,nan,nan,nan,nan
80,36,2,0.5161290322580645,0.3870967741935484,0.3870967741935484,0.41935483870967744
81,54,5,0.37254901960784315,0.29411764705882354,0.2549019607843137,0.37254901960784315
82,19,2,0.5625,0.4375,0.5625,0.5
83,33,2,0.5,0.35714285714285715,0.32142857142857145,0.5
84,32,6,0.3793103448275862,0.3793103448275862,0.3448275862068966,0.4827586206896552
85,27,3,0.25,0.375,0.2916666666666667,0.25
86,22,2,0.4666666666666667,0.4666666666666667,0.26666666666666666,0.4666666666666667
87,31,3,0.46153846153846156,0.38461538461538464,0.5,0.46153846153846156
88,37,7,0.41935483870967744,0.3870967741935484,0.2903225806451613,0.3870967741935484
89,36,7,0.3,0.26666666666666666,0.23333333333333334,0.3
90,23,2,0.6190476190476191,0.47619047619047616,0.47619047619047616,0.5714285714285714
91,53,5,0.3191489361702128,0.3404255319148936,0.3191489361702128,0.3617021276595745
92,31,1,0.5714285714285714,0.4642857142857143,0.5714285714285714,0.5
93,23,4,0.2222222222222222,0.2777777777777778,0.16666666666666666,0.2222222222222222
94,29,6,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.3076923076923077
95,28,7,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.3076923076923077
96,30,2,0.34615384615384615,0.4230769230769231,0.34615384615384615,0.3076923076923077
97,10,2,0.375,0.25,0.5,0.5
98,52,9,0.29545454545454547,0.22727272727272727,0.20454545454545456,0.25
99,42,3,0.40540540540540543,0.35135135135135137,0.35135135135135137,0.43243243243243246
100,17,1,0.4,0.4,0.3333333333333333,0.4666666666666667
101,15,2,0.18181818181818182,0.2727272727272727,0.0,0.2727272727272727
102,5,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666
103,33,5,0.4074074074074074,0.4074074074074074,0.2962962962962963,0.3333333333333333
104,11,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444
105,36,3,0.3870967741935484,0.3548387096774194,0.3548387096774194,0.41935483870967744
106,54,8,0.2826086956521739,0.3695652173913043,0.2391304347826087,0.2608695652173913
107,15,1,0.5,0.5,0.5833333333333334,0.4166666666666667
108,33,3,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2962962962962963
109,32,5,0.2692307692307692,0.19230769230769232,0.23076923076923078,0.23076923076923078
110,40,1,0.3783783783783784,0.2972972972972973,0.40540540540540543,0.40540540540540543
111,8,2,0.16666666666666666,0.16666666666666666,0.0,0.0
112,22,5,0.15789473684210525,0.2631578947368421,0.2631578947368421,0.2631578947368421
113,44,2,0.42105263157894735,0.39473684210526316,0.39473684210526316,0.39473684210526316
114,18,5,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666
115,22,2,0.47058823529411764,0.5294117647058824,0.23529411764705882,0.47058823529411764
116,22,0,0.5263157894736842,0.42105263157894735,0.3684210526315789,0.3684210526315789
117,13,2,0.2,0.2,0.3,0.3
118,26,1,0.3181818181818182,0.36363636363636365,0.3181818181818182,0.4090909090909091
119,21,4,0.375,0.3125,0.25,0.375
120,26,8,0.3181818181818182,0.3181818181818182,0.22727272727272727,0.22727272727272727
121,19,2,0.4117647058823529,0.4117647058823529,0.35294117647058826,0.4117647058823529
122,19,3,0.38461538461538464,0.46153846153846156,0.3076923076923077,0.5384615384615384
123,5,2,1.0,0.5,1.0,0.5
124,24,3,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5714285714285714
125,21,2,0.4444444444444444,0.3888888888888889,0.2777777777777778,0.3333333333333333
126,27,4,0.375,0.375,0.375,0.375
127,11,2,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.2222222222222222
128,13,2,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.45454545454545453
129,44,7,0.3611111111111111,0.3333333333333333,0.19444444444444445,0.3055555555555556
130,20,4,0.35294117647058826,0.23529411764705882,0.29411764705882354,0.29411764705882354
131,20,3,0.21428571428571427,0.42857142857142855,0.14285714285714285,0.2857142857142857
132,30,2,0.6666666666666666,0.5925925925925926,0.5185185185185185,0.6666666666666666
133,58,nan,nan,nan,nan,nan
134,21,2,0.4375,0.375,0.4375,0.375
135,27,5,0.3181818181818182,0.3181818181818182,0.18181818181818182,0.36363636363636365
136,21,5,0.3157894736842105,0.10526315789473684,0.3684210526315789,0.2631578947368421
137,13,2,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.18181818181818182
138,25,4,0.4,0.35,0.35,0.4
