sentence_index,sentence_length,uuas_sum,uuas_triu,uuas_tril,uuas_none
0,37,0.35294117647058826,0.35294117647058826,0.3235294117647059,0.35294117647058826
1,45,0.5,0.42105263157894735,0.39473684210526316,0.3684210526315789
2,20,0.5294117647058824,0.29411764705882354,0.4117647058823529,0.47058823529411764
3,37,0.3076923076923077,0.19230769230769232,0.34615384615384615,0.34615384615384615
4,23,0.3333333333333333,0.19047619047619047,0.2857142857142857,0.2857142857142857
5,22,0.35,0.45,0.35,0.5
6,17,0.5,0.5,0.5,0.5714285714285714
7,28,0.43478260869565216,0.6086956521739131,0.34782608695652173,0.391304347826087
8,34,0.4666666666666667,0.4666666666666667,0.43333333333333335,0.43333333333333335
9,23,0.47058823529411764,0.4117647058823529,0.35294117647058826,0.4117647058823529
10,30,0.3333333333333333,0.4444444444444444,0.18518518518518517,0.37037037037037035
11,29,0.32,0.4,0.44,0.44
12,23,0.3888888888888889,0.2222222222222222,0.3333333333333333,0.2777777777777778
13,13,0.2727272727272727,0.45454545454545453,0.09090909090909091,0.36363636363636365
14,20,0.5,0.3888888888888889,0.5,0.5
15,42,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.3783783783783784
16,44,0.3888888888888889,0.3611111111111111,0.3611111111111111,0.4166666666666667
17,27,0.47619047619047616,0.5238095238095238,0.42857142857142855,0.47619047619047616
18,26,0.5,0.4090909090909091,0.45454545454545453,0.5454545454545454
19,15,0.46153846153846156,0.5384615384615384,0.38461538461538464,0.46153846153846156
20,9,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.42857142857142855
21,42,0.5135135135135135,0.4594594594594595,0.40540540540540543,0.5135135135135135
22,22,0.45,0.5,0.45,0.4
23,17,0.5,0.42857142857142855,0.35714285714285715,0.5
24,10,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.5714285714285714
25,22,0.45,0.3,0.35,0.4
26,17,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857
27,14,0.3333333333333333,0.5,0.25,0.3333333333333333
28,21,0.3157894736842105,0.15789473684210525,0.3157894736842105,0.3157894736842105
29,18,0.21428571428571427,0.42857142857142855,0.14285714285714285,0.42857142857142855
30,26,0.6086956521739131,0.5217391304347826,0.4782608695652174,0.5652173913043478
31,8,0.2,0.2,0.2,0.2
32,17,0.46153846153846156,0.5384615384615384,0.46153846153846156,0.46153846153846156
33,27,0.5833333333333334,0.5833333333333334,0.4583333333333333,0.5416666666666666
34,21,0.4375,0.375,0.3125,0.4375
35,32,0.5357142857142857,0.5357142857142857,0.35714285714285715,0.5
36,21,0.5,0.625,0.4375,0.5
37,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
38,12,0.4,0.5,0.5,0.4
39,11,0.5,0.5,0.5,0.5
40,24,0.47619047619047616,0.42857142857142855,0.38095238095238093,0.5238095238095238
41,40,0.4838709677419355,0.4838709677419355,0.45161290322580644,0.5161290322580645
42,13,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.36363636363636365
43,14,0.25,0.3333333333333333,0.25,0.25
44,40,0.3888888888888889,0.3611111111111111,0.3333333333333333,0.3611111111111111
45,20,0.3888888888888889,0.2777777777777778,0.4444444444444444,0.3888888888888889
